"","Nest","maxclutch","year","site"
"598","GJH120",3,1999,"kig"
"599","PD001",5,1999,"kig"
"600","TLM002",5,1999,"kig"
"601","TLM003",5,1999,"kig"
"602","TLM006",5,1999,"kig"
"603","TLM014",5,1999,"kig"
"604","TLM015",5,1999,"kig"
"605","TLM020",6,1999,"kig"
"606","TLM024",5,1999,"kig"
"607","TLM026",6,1999,"kig"
"608","TLM028",4,1999,"kig"
"609","TLM029",4,1999,"kig"
"610","TLM034",3,1999,"kig"
"611","TLM035",5,1999,"kig"
"612","TLM037",6,1999,"kig"
"613","TLM038",3,1999,"kig"
"614","TLM042",5,1999,"kig"
"615","TLM044",6,1999,"kig"
"616","TLM050",4,1999,"kig"
"617","TLM051",6,1999,"kig"
"618","TLM054",5,1999,"kig"
"619","TLM055",3,1999,"kig"
"620","TLM057",6,1999,"kig"
"621","TLM059",5,1999,"kig"
"622","TLM061",6,1999,"kig"
"623","TLM063",5,1999,"kig"
"624","TLM064",5,1999,"kig"
"625","TLM067",5,1999,"kig"
"626","TLM068",6,1999,"kig"
"627","TLM069",4,1999,"kig"
"628","TLM071",5,1999,"kig"
"629","TLM073",5,1999,"kig"
"630","TLM075",5,1999,"kig"
"631","TLM081",4,1999,"kig"
"632","TLM082",5,1999,"kig"
"633","TLM083",6,1999,"kig"
"634","TLM084",5,1999,"kig"
"635","TLM087",5,1999,"kig"
"636","TLM089",5,1999,"kig"
"637","TLM090",4,1999,"kig"
"638","TLM091",4,1999,"kig"
"639","TLM093",6,1999,"kig"
"640","TLM094",4,1999,"kig"
"641","TLM095",5,1999,"kig"
"642","TLM097",6,1999,"kig"
"643","TLM099",5,1999,"kig"
"644","TLM100",5,1999,"kig"
"645","TLM101",6,1999,"kig"
"646","TLM102",4,1999,"kig"
"647","TLM104",6,1999,"kig"
"648","TLM106",6,1999,"kig"
"649","TLM113",3,1999,"kig"
"650","TLM119",6,1999,"kig"
"651","TLM120",5,1999,"kig"
"652","TLM123",4,1999,"kig"
"653","TLM125",6,1999,"kig"
"654","TLM126",6,1999,"kig"
"655","TLM127",3,1999,"kig"
"656","TLM128",5,1999,"kig"
"657","TLM129",5,1999,"kig"
"658","TLM130",6,1999,"kig"
"659","TLM131",5,1999,"kig"
"660","TLM135",5,1999,"kig"
"661","TLM136",4,1999,"kig"
"662","TLM140",4,1999,"kig"
"663","TLM141",4,1999,"kig"
"664","TLM147",4,1999,"kig"
"665","TLM148",5,1999,"kig"
"666","TLM161",4,1999,"kig"
"667","TLM164",4,1999,"kig"
"668","TLM166",4,1999,"kig"
"669","TLM168",4,1999,"kig"
"670","MLS060",5,2000,"kig"
"671","BG010",3,2000,"kig"
"672","BG011",4,2000,"kig"
"673","BG005",4,2000,"kig"
"674","BG008",7,2000,"kig"
"675","BG016",6,2000,"kig"
"676","BG017",4,2000,"kig"
"677","BG018",5,2000,"kig"
"678","BG026",6,2000,"kig"
"679","BG027",6,2000,"kig"
"680","BG029",6,2000,"kig"
"681","BG034",1,2000,"kig"
"682","BG036",7,2000,"kig"
"683","BG037",6,2000,"kig"
"684","BG038",6,2000,"kig"
"685","BG040",5,2000,"kig"
"686","BG041",6,2000,"kig"
"687","BG047",7,2000,"kig"
"688","BG048",5,2000,"kig"
"689","BG050",6,2000,"kig"
"690","BG055",5,2000,"kig"
"691","BG056",6,2000,"kig"
"692","BG058",6,2000,"kig"
"693","BG063",6,2000,"kig"
"694","BG066",6,2000,"kig"
"695","BG076",5,2000,"kig"
"696","BG077",6,2000,"kig"
"697","BG079",5,2000,"kig"
"698","BG080",5,2000,"kig"
"699","BG090",5,2000,"kig"
"700","BG097",4,2000,"kig"
"701","BG101",6,2000,"kig"
"702","BG102",4,2000,"kig"
"703","BG112",5,2000,"kig"
"704","MLS002",3,2000,"kig"
"705","MLS003",5,2000,"kig"
"706","MLS005",5,2000,"kig"
"707","MLS008",6,2000,"kig"
"708","MLS010",5,2000,"kig"
"709","MLS015",6,2000,"kig"
"710","MLS016",5,2000,"kig"
"711","MLS020",5,2000,"kig"
"712","MLS023",5,2000,"kig"
"713","MLS024",3,2000,"kig"
"714","MLS026",4,2000,"kig"
"715","MLS030",6,2000,"kig"
"716","MLS031",5,2000,"kig"
"717","MLS032",4,2000,"kig"
"718","MLS033",6,2000,"kig"
"719","MLS034",6,2000,"kig"
"720","MLS037",4,2000,"kig"
"721","MLS039",5,2000,"kig"
"722","MLS041",6,2000,"kig"
"723","MLS042",5,2000,"kig"
"724","MLS045",4,2000,"kig"
"725","MLS046",5,2000,"kig"
"726","MLS047",6,2000,"kig"
"727","MLS051",4,2000,"kig"
"728","MLS054",5,2000,"kig"
"729","MLS065",6,2000,"kig"
"730","MLS066",4,2000,"kig"
"731","MLS067",5,2000,"kig"
"732","MLS069",4,2000,"kig"
"733","MLS071",4,2000,"kig"
"734","MLS073",3,2000,"kig"
"735","MLS078",5,2000,"kig"
"736","MLS082",5,2000,"kig"
"737","MLS084",7,2000,"kig"
"738","TLM007",6,2000,"kig"
